AssemblyAcc	BioProject	BioSample	RunAccessions
GCA_002441545.1	PRJNA348753	SAMN06450460	SRR5323214
GCA_002452945.1	PRJNA348753	SAMN06457790	SRR5322006
GCA_002452975.1	PRJNA348753	SAMN06457788	SRR5322004
GCA_002453005.1	PRJNA348753	SAMN06456112	SRR5322002
GCA_002453015.1	PRJNA348753	SAMN06457787	SRR5322003
GCA_002453055.1	PRJNA348753	SAMN06457792	SRR5321999
GCA_002453075.1	PRJNA348753	SAMN06457791	SRR5322007
GCA_002453085.1	PRJNA348753	SAMN06454745	SRR5322001
GCA_002453775.1	PRJNA348753	SAMN06457283	SRR5325520
GCA_002453895.1	PRJNA348753	SAMN06452000	SRR5325292
GCA_002454095.1	PRJNA348753	SAMN06457016	SRR5325294
GCA_002454195.1	PRJNA348753	SAMN06457023	SRR5323806
GCA_002454815.1	PRJNA348753	SAMN06455589	SRR5330178
GCA_002455915.1	PRJNA348753	SAMN06456401	SRR5329819
GCA_002469685.1	PRJNA348753	SAMN06453141	SRR5326342
GCA_002470025.1	PRJNA348753	SAMN06453675	SRR5327279
GCA_002470745.1	PRJNA348753	SAMN06454848	SRR5321908
GCA_002470765.1	PRJNA348753	SAMN06454844	SRR5327236
GCA_002470905.1	PRJNA348753	SAMN06453280	SRR5323825
GCA_002471425.1	PRJNA348753	SAMN06454318	SRR5321409
GCA_002471625.1	PRJNA348753	SAMN06450333	SRR5321419
GCA_002471745.1	PRJNA348753	SAMN06455077	SRR5321436
GCA_002471825.1	PRJNA348753	SAMN06455073	SRR5321431
GCA_002472765.1	PRJNA348753	SAMN06451200	SRR5330159
GCA_002472905.1	PRJNA348753	SAMN06455544	SRR5330173
GCA_002472945.1	PRJNA348753	SAMN06456253	SRR5330161
GCA_002476825.1	PRJNA348753	SAMN06450841	SRR5325384
GCA_002476905.1	PRJNA348753	SAMN06451102	SRR5325378
GCA_002477085.1	PRJNA348753	SAMN06457007	SRR5325581
GCA_002477565.1	PRJNA348753	SAMN06453932	SRR5327263
GCA_002477585.1	PRJNA348753	SAMN06453933	SRR5327262
GCA_002477625.1	PRJNA348753	SAMN06451375	SRR5327258
GCA_002477665.1	PRJNA348753	SAMN06451954	SRR5325660
GCA_002478375.1	PRJNA348753	SAMN06455867	SRR5325574
GCA_002478465.1	PRJNA348753	SAMN06457009	SRR5325579
GCA_002478685.1	PRJNA348753	SAMN06451657	SRR5323800
GCA_002480405.1	PRJNA348753	SAMN06457153	SRR5321399
GCA_002480545.1	PRJNA348753	SAMN06457156	SRR5321391
GCA_002482885.1	PRJNA348753	SAMN06452853	SRR5322586
GCA_002482945.1	PRJNA348753	SAMN06452855	SRR5322584
GCA_002482975.1	PRJNA348753	SAMN06452857	SRR5322581
GCA_002483285.1	PRJNA348753	SAMN06452169	SRR5322594
GCA_002483315.1	PRJNA348753	SAMN06452167	SRR5322588
GCA_002484105.1	PRJNA348753	SAMN06451647	SRR5325478
GCA_002484185.1	PRJNA348753	SAMN06451644	SRR5325746
GCA_002484335.1	PRJNA348753	SAMN06454436	SRR5325496
GCA_002484365.1	PRJNA348753	SAMN06454433	SRR5325495
GCA_002494265.1	PRJNA348753	SAMN06457380	SRR5327225
GCA_002591275.1	PRJNA231221	SAMN07312423	SRR5871780,SRR5871781
GCA_002754195.1	PRJNA402403	SAMN07626139	SRR6824066,SRR6824067
GCA_002754245.1	PRJNA402418	SAMN07626135	SRR6824087
GCA_002754275.1	PRJNA402421	SAMN07621436	SRR6824029,SRR6824030,SRR6824031,SRR6824032,SRR6824033
GCA_002754315.1	PRJNA402422	SAMN07621435	SRR6824072,SRR6824073,SRR6824074,SRR6824075,SRR6824076
GCA_002797535.1	PRJNA402495	SAMN07621004	SRR6479505
GCA_002797785.1	PRJNA402483	SAMN07621029	SRR6479483
GCA_002797935.1	PRJNA402405	SAMN07626125	SRR6824008
GCA_002810405.1	PRJNA385495	SAMN06891234	SRR5527527,SRR5527528
GCA_002813125.1	PRJNA311445	SAMN04515606	SRR4156293,SRR4156294,SRR4156295
GCA_002813135.1	PRJNA303203	SAMN04489795	SRR4184823,SRR4184824
GCA_002813285.1	PRJNA370768	SAMN06297457	SRR5460432,SRR5460433
GCA_002813295.1	PRJNA402404	SAMN07626140	SRR6824065
